Sample	File1	File2
CTauKeS__717	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080432/FP200000263TL_L01_591_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080432/FP200000263TL_L01_591_2.fq.gz
CTauKeS__718	/jbod1/seqAfrica/raw/theLost7/OBDWLZ-202012125D-01/2021-04-22/210123_SEQ041_FP200000263TL_L01_SP2101080433/FP200000263TL_L01_592_1.fq.gz	/jbod1/seqAfrica/raw/theLost7/OBDWLZ-202012125D-01/2021-04-22/210123_SEQ041_FP200000263TL_L01_SP2101080433/FP200000263TL_L01_592_2.fq.gz
CTauNaN_2489	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080434/FP200000263TL_L01_593_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080434/FP200000263TL_L01_593_2.fq.gz
CTauNaN_2495	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080435/FP200000263TL_L01_594_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080435/FP200000263TL_L01_594_2.fq.gz
CTauNaN_2496	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080436/FP200000263TL_L01_595_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080436/FP200000263TL_L01_595_2.fq.gz
CTauNaN_2500	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080437/FP200000263TL_L01_596_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080437/FP200000263TL_L01_596_2.fq.gz
CTauNaN_2503	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080438/FP200000263TL_L01_501_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080438/FP200000263TL_L01_501_2.fq.gz
CTauNaN_2506	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080439/FP200000263TL_L01_502_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080439/FP200000263TL_L01_502_2.fq.gz
CTauZaN__914	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280175/FP200000283TL_L01_114_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280175/FP200000283TL_L01_114_2.fq.gz
CTauTzN_2165	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280176/FP200000283TL_L01_32_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280176/FP200000283TL_L01_32_2.fq.gz
CTauTzN_2199	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280177/FP200000283TL_L01_33_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280177/FP200000283TL_L01_33_2.fq.gz
